File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AdminDishEditModelController.kt,33,27,9,3,6,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AdminDishesOverviewModelController.kt,21,17,5,0,4,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AdminUserCreateModelController.kt,18,15,5,1,3,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AdminUserEditModelController.kt,24,20,6,2,4,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AdminUsersOverviewModelController.kt,19,16,5,0,3,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AuthenticationBusinessLoginModelController.kt,20,12,4,0,5,0,3,6,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\AuthenticationBusinessRegisterModelController.kt,44,41,9,3,3,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\GeneralChooseAccountModelController.kt,31,27,9,0,4,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\GeneralMenuDishesModelController.kt,20,17,5,0,3,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\KitchenBarActiveDishesModelController.kt,64,58,18,4,6,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\KitchenBarActiveOrdersModelController.kt,75,67,23,5,5,0,3,31,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\KitchenBarArchivedDishesModelController.kt,40,35,11,2,5,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\KitchenBarArchivedOrdersModelController.kt,46,40,13,2,5,0,1,14,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServiceAddDishesToOrderModelController.kt,24,19,6,0,5,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServiceAlreadyOrderedDishesModelController.kt,38,33,11,1,5,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServiceCreateOrderModelController.kt,42,37,10,3,4,0,1,12,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServiceDashboardModelController.kt,48,41,13,1,7,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServiceOrderedDishesOverviewModelController.kt,41,36,10,4,5,0,0,0,0,0
C:\Users\Dominik Schultes\Desktop\Tmp Code Analyse\refactoring-teama-master\app\src\main\java\com\example\ordermatic\controller\model\ServicePaymentModelController.kt,51,45,14,2,6,0,0,0,0,0
